STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
MXM00076903,"TAPACHULA CHIS, MX",8/31/00,0,81,94,72
MXM00076903,"TAPACHULA CHIS, MX",9/1/00,0.88,78,95,72
MXM00076903,"TAPACHULA CHIS, MX",9/2/00,1.46,78,90,72
MXM00076903,"TAPACHULA CHIS, MX",9/3/00,1.44,80,92,73
MXM00076903,"TAPACHULA CHIS, MX",9/4/00,0.02,80,91,73
MXM00076903,"TAPACHULA CHIS, MX",9/5/00,0,80,92,72
MXM00076903,"TAPACHULA CHIS, MX",9/6/00,1.06,79,89,72
MXM00076903,"TAPACHULA CHIS, MX",9/7/00,0,78,90,73
MXM00076903,"TAPACHULA CHIS, MX",9/8/00,0.17,81,,
MXM00076903,"TAPACHULA CHIS, MX",9/9/00,0.18,81,92,71
MXM00076903,"TAPACHULA CHIS, MX",9/10/00,0.13,80,93,72
MXM00076903,"TAPACHULA CHIS, MX",9/11/00,0,80,88,73
MXM00076903,"TAPACHULA CHIS, MX",9/12/00,0.02,81,90,72
MXM00076903,"TAPACHULA CHIS, MX",9/13/00,0.15,79,93,72
MXM00076903,"TAPACHULA CHIS, MX",9/14/00,0.25,80,92,72
MXM00076903,"TAPACHULA CHIS, MX",9/15/00,0.21,80,90,74
MXM00076903,"TAPACHULA CHIS, MX",9/16/00,0.26,80,92,73
MXM00076903,"TAPACHULA CHIS, MX",9/17/00,0.04,80,90,72
MXM00076903,"TAPACHULA CHIS, MX",9/18/00,0.13,78,91,72
MXM00076903,"TAPACHULA CHIS, MX",9/19/00,0.19,78,89,72
MXM00076903,"TAPACHULA CHIS, MX",9/20/00,0.14,81,92,72
MXM00076903,"TAPACHULA CHIS, MX",9/21/00,0,82,91,72
MXM00076903,"TAPACHULA CHIS, MX",9/22/00,0.25,78,91,72
MXM00076903,"TAPACHULA CHIS, MX",9/23/00,0,81,,
MXM00076903,"TAPACHULA CHIS, MX",9/24/00,0,81,94,73
MXM00076903,"TAPACHULA CHIS, MX",9/25/00,0,83,94,73
MXM00076903,"TAPACHULA CHIS, MX",9/26/00,0.35,79,93,74
MXM00076903,"TAPACHULA CHIS, MX",9/27/00,0,77,91,72
MXM00076903,"TAPACHULA CHIS, MX",9/28/00,1.21,79,,
