STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
ES003800510,"SAN SALVADOR ILOPAN, ES",5/16/00,0,75,,
ES003800510,"SAN SALVADOR ILOPAN, ES",5/17/00,0.07,75,,
ES003800510,"SAN SALVADOR ILOPAN, ES",5/18/00,0.09,74,85,68
ES003800510,"SAN SALVADOR ILOPAN, ES",5/19/00,0,75,83,68
ES003800510,"SAN SALVADOR ILOPAN, ES",5/20/00,,76,84,69
ES003800510,"SAN SALVADOR ILOPAN, ES",5/21/00,0.09,76,85,69
ES003800510,"SAN SALVADOR ILOPAN, ES",5/22/00,0.56,77,,
ES003800510,"SAN SALVADOR ILOPAN, ES",5/23/00,0,75,,
ES003800510,"SAN SALVADOR ILOPAN, ES",5/24/00,,77,,
ES003800510,"SAN SALVADOR ILOPAN, ES",5/25/00,0.7,75,87,69
ES003800510,"SAN SALVADOR ILOPAN, ES",5/26/00,0.31,76,83,68
ES003800510,"SAN SALVADOR ILOPAN, ES",5/27/00,0,75,84,68
ES003800510,"SAN SALVADOR ILOPAN, ES",5/28/00,,77,84,68
ES003800510,"SAN SALVADOR ILOPAN, ES",5/29/00,,77,,
ES003800510,"SAN SALVADOR ILOPAN, ES",5/30/00,,77,87,68
ES003800510,"SAN SALVADOR ILOPAN, ES",5/31/00,,75,87,68
ES003800510,"SAN SALVADOR ILOPAN, ES",6/1/00,,76,,
ES003800510,"SAN SALVADOR ILOPAN, ES",6/2/00,,76,86,69
ES003800510,"SAN SALVADOR ILOPAN, ES",6/3/00,,76,86,70
ES003800510,"SAN SALVADOR ILOPAN, ES",6/4/00,,77,87,68
ES003800510,"SAN SALVADOR ILOPAN, ES",6/5/00,,74,87,68
ES003800510,"SAN SALVADOR ILOPAN, ES",6/6/00,,77,85,69
ES003800510,"SAN SALVADOR ILOPAN, ES",6/7/00,,75,,
ES003800510,"SAN SALVADOR ILOPAN, ES",6/8/00,,76,,
ES003800510,"SAN SALVADOR ILOPAN, ES",6/9/00,,76,86,68
ES003800510,"SAN SALVADOR ILOPAN, ES",6/10/00,0.02,74,86,68
ES003800510,"SAN SALVADOR ILOPAN, ES",6/11/00,0,76,81,70
ES003800510,"SAN SALVADOR ILOPAN, ES",6/12/00,0,76,,
ES003800510,"SAN SALVADOR ILOPAN, ES",6/13/00,,76,86,67
ES003800510,"SAN SALVADOR ILOPAN, ES",6/14/00,,80,,
ES003800510,"SAN SALVADOR ILOPAN, ES",6/15/00,0,76,88,68
ES003800510,"SAN SALVADOR ILOPAN, ES",6/16/00,0,79,,
ES003800510,"SAN SALVADOR ILOPAN, ES",6/17/00,,78,,
ES003800510,"SAN SALVADOR ILOPAN, ES",6/18/00,0.47,73,87,70
