STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
MXM00076658,"COLIMA, MX",7/20/00,,,74,,
MXM00076658,"COLIMA, MX",7/21/00,0.21,,79,88,68
MXM00076658,"COLIMA, MX",7/22/00,0,,78,90,70
MXM00076658,"COLIMA, MX",7/23/00,,,79,,
MXM00076658,"COLIMA, MX",7/24/00,,,80,,
MXM00076658,"COLIMA, MX",7/25/00,0,,76,,
MXM00076658,"COLIMA, MX",7/26/00,0.76,,78,,
MXM00076658,"COLIMA, MX",7/27/00,0,,78,,
MXM00076658,"COLIMA, MX",7/28/00,,,78,,
MXM00076658,"COLIMA, MX",7/29/00,0.22,,81,91,70
MXM00076658,"COLIMA, MX",7/30/00,0,,79,94,70
MXM00076658,"COLIMA, MX",7/31/00,,,74,,
MXM00076658,"COLIMA, MX",8/1/00,0.27,,78,88,70
MXM00076658,"COLIMA, MX",8/2/00,0.09,,80,,
MXM00076658,"COLIMA, MX",8/3/00,0.2,,78,95,72
MXM00076658,"COLIMA, MX",8/4/00,0,,75,,
MXM00076658,"COLIMA, MX",8/5/00,,,79,89,71
MXM00076658,"COLIMA, MX",8/6/00,,,77,,
MXM00076658,"COLIMA, MX",8/7/00,,,78,,
MXM00076658,"COLIMA, MX",8/8/00,0,,81,95,69
MXM00076658,"COLIMA, MX",8/9/00,,,80,,
MXM00076658,"COLIMA, MX",8/10/00,,,81,,
MXM00076658,"COLIMA, MX",8/11/00,0.7,,74,,
MXM00076658,"COLIMA, MX",8/12/00,0,,74,,
MXM00076658,"COLIMA, MX",8/13/00,0,,72,,
MXM00076658,"COLIMA, MX",8/14/00,,,77,,
MXM00076658,"COLIMA, MX",8/15/00,,,79,,
MXM00076658,"COLIMA, MX",8/16/00,0.02,,78,94,69
MXM00076658,"COLIMA, MX",8/17/00,0.25,,83,,
MXM00076658,"COLIMA, MX",8/18/00,0,,83,100,70
MXM00076658,"COLIMA, MX",8/19/00,0,,81,98,71
MXM00076658,"COLIMA, MX",8/20/00,0,,78,,
MXM00076658,"COLIMA, MX",8/21/00,,,78,,
MXM00076658,"COLIMA, MX",8/22/00,0,,78,,
MXM00076658,"COLIMA, MX",8/23/00,1.39,,80,,
MXM00076658,"COLIMA, MX",8/24/00,0,,81,98,70
MXM00076658,"COLIMA, MX",8/25/00,0.43,,85,,
MXM00076658,"COLIMA, MX",8/26/00,0.04,,79,,
MXM00076658,"COLIMA, MX",8/27/00,0,,79,,
MXM00076658,"COLIMA, MX",8/28/00,,,79,90,68
MXM00076658,"COLIMA, MX",8/29/00,,,81,,
MXM00076658,"COLIMA, MX",8/30/00,,,76,,
MXM00076658,"COLIMA, MX",8/31/00,,,81,,
MXM00076658,"COLIMA, MX",9/1/00,,,81,,
MXM00076658,"COLIMA, MX",9/2/00,,,78,,
MXM00076658,"COLIMA, MX",9/3/00,,,80,,
MXM00076658,"COLIMA, MX",9/4/00,,,78,87,69
MXM00076658,"COLIMA, MX",9/5/00,,,78,89,70
MXM00076658,"COLIMA, MX",9/6/00,,,80,,
MXM00076658,"COLIMA, MX",9/7/00,,,81,89,70
MXM00076658,"COLIMA, MX",9/8/00,0,,79,92,70
MXM00076658,"COLIMA, MX",9/9/00,,,81,,
MXM00076658,"COLIMA, MX",9/10/00,,,78,,
MXM00076658,"COLIMA, MX",9/11/00,,,75,,
MXM00076658,"COLIMA, MX",9/12/00,0,,80,91,68
MXM00076658,"COLIMA, MX",9/13/00,0,,78,,
MXM00076658,"COLIMA, MX",9/14/00,0.46,,79,93,69
MXM00076658,"COLIMA, MX",9/15/00,0,,76,,
MXM00076658,"COLIMA, MX",9/16/00,0.62,,79,,
