STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/4/90,0.22,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/5/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/6/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/7/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/8/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/9/90,2,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/10/90,0.49,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/11/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/12/90,0.37,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/13/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/14/90,0.96,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/15/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/16/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/17/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/18/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/19/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/20/90,0.07,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/21/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/22/90,1.26,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/23/90,0.19,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/24/90,0.13,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/25/90,0.02,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/26/90,0.72,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/27/90,0.04,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/28/90,0.01,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/29/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/30/90,0.02,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/31/90,0.39,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/1/90,0.7,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/2/90,0.39,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/3/90,0.04,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/4/90,0.16,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/5/90,0.02,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/6/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/7/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/8/90,0.14,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/9/90,0.23,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/10/90,1.22,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/11/90,0.18,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/12/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/13/90,0.11,",,I"
