STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/24/18,0,",,S",61,"H,,S",,,46,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/25/18,,,60,"H,,S",,,,
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/26/18,,,61,"H,,S",,,45,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/27/18,,,59,"H,,S",,,43,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/28/18,0.02,",,S",61,"H,,S",,,45,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/29/18,0,",,S",62,"H,,S",,,45,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/30/18,,,67,"H,,S",,,47,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/31/18,,,63,"H,,S",,,46,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/1/18,,,62,"H,,S",,,,
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/2/18,,,63,"H,,S",,,47,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/3/18,,,61,"H,,S",,,47,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/4/18,,,60,"H,,S",,,39,",,S"
