Date,Price
3/22/10,1.2662
3/23/10,1.266
3/24/10,1.2826
3/25/10,1.289
3/26/10,1.3035
3/29/10,1.3018
3/30/10,1.3141
3/31/10,1.3164
4/1/10,1.3055
4/5/10,1.3055
4/6/10,1.3055
4/7/10,1.3182
4/8/10,1.3094
4/9/10,1.2821
4/12/10,1.2648
4/13/10,1.2589
4/14/10,1.2472
4/15/10,1.2438
4/16/10,1.2375
4/19/10,1.2257
4/20/10,1.2222
4/21/10,1.2233
4/22/10,1.2268
4/23/10,1.2395
4/26/10,1.246
4/27/10,1.2547
4/28/10,1.2285
4/29/10,1.2582
4/30/10,1.2694
5/3/10,1.2773
5/4/10,1.3072
5/5/10,1.3044
5/6/10,1.2973
5/7/10,1.2673
5/10/10,1.2663
5/11/10,1.2676
5/12/10,1.2809
5/13/10,1.2962
5/14/10,1.2962
5/17/10,1.2829
5/18/10,1.2579
5/19/10,1.2713
5/20/10,1.2592
5/21/10,1.2534
5/24/10,1.2553
5/25/10,1.2527
5/26/10,1.2523
5/27/10,1.272
5/28/10,1.2731
6/1/10,1.2753
6/2/10,1.2861
6/3/10,1.2942
6/4/10,1.288
6/7/10,1.2725
6/8/10,1.2725
6/9/10,1.2725
6/10/10,1.2801
6/11/10,1.3084
6/14/10,1.3814
6/15/10,1.4118
6/16/10,1.4659
6/17/10,1.516
6/18/10,1.4945
6/21/10,1.5108
6/22/10,1.5331
6/23/10,1.5192
6/24/10,1.5169
6/25/10,1.59
6/28/10,1.6016
6/29/10,1.5952
6/30/10,1.5429
7/1/10,1.5585
7/2/10,1.5872
7/6/10,1.5535
7/7/10,1.5024
7/8/10,1.5248
7/9/10,1.5398
7/12/10,1.5498
7/13/10,1.5572
7/14/10,1.5875
7/15/10,1.5767
7/16/10,1.6018
7/19/10,1.5948
7/20/10,1.5725
7/21/10,1.5361
7/22/10,1.5152
7/23/10,1.5454
7/26/10,1.5753
7/27/10,1.5806
7/28/10,1.5689
7/29/10,1.5689
7/30/10,1.6241
8/2/10,1.667
8/3/10,1.6432
8/4/10,1.5917
8/5/10,1.598
8/6/10,1.6015
8/9/10,1.5857
8/10/10,1.5906
8/11/10,1.6086
8/12/10,1.6097
8/13/10,1.6455
8/16/10,1.6619
8/17/10,1.6703
8/18/10,1.6658
8/19/10,1.6528
8/20/10,1.6643
8/23/10,1.707
8/24/10,1.6995
8/25/10,1.5789
8/26/10,1.5425
8/27/10,1.593
8/30/10,1.6473
8/31/10,1.6841
9/1/10,1.6639
9/2/10,1.6935
9/3/10,1.7175
9/7/10,1.7323
9/8/10,1.7523
9/9/10,1.8035
9/10/10,1.7721
9/13/10,1.7686
9/14/10,1.7642
9/15/10,1.8079
9/16/10,1.7977
9/17/10,1.7977
9/20/10,1.7598
9/21/10,1.719
9/22/10,1.7063
9/23/10,1.7261
9/24/10,1.7139
9/27/10,1.7151
9/28/10,1.7585
9/29/10,1.7812
9/30/10,1.7644
10/1/10,1.7607
10/4/10,1.7399
10/5/10,1.6301
10/6/10,1.6374
10/7/10,1.641
10/8/10,1.6372
10/11/10,1.6721
10/12/10,1.6683
10/13/10,1.7116
10/14/10,1.7271
10/15/10,1.7387
10/18/10,1.7324
10/19/10,1.7285
10/20/10,1.7489
10/21/10,1.7956
10/22/10,1.8436
10/25/10,1.8547
10/26/10,1.8737
10/27/10,1.8729
10/28/10,1.8686
10/29/10,1.8357
11/1/10,1.8718
11/2/10,1.8455
11/3/10,1.8513
11/4/10,1.8479
11/5/10,1.9199
11/8/10,1.9163
11/9/10,1.9402
11/10/10,2.0196
11/11/10,1.9832
11/12/10,1.942
11/15/10,1.8685
11/16/10,1.8992
11/17/10,1.8535
11/18/10,1.8511
11/19/10,1.9265
11/22/10,1.9315
11/23/10,1.9432
11/24/10,1.281
11/26/10,1.9387
11/29/10,1.8722
11/30/10,1.8772
12/1/10,1.8726
12/2/10,1.8799
12/3/10,1.8909
12/6/10,1.9031
12/7/10,1.9315
12/8/10,1.9419
12/9/10,1.9159
12/10/10,1.9019
12/13/10,1.9298
12/14/10,2.0355
12/15/10,2.0271
12/16/10,2.034
12/17/10,2.0266
12/20/10,2.0759
12/21/10,2.0852
12/22/10,2.1693
12/23/10,2.1693
12/27/10,2.1736
12/28/10,2.1736
12/29/10,2.1736
12/30/10,2.1736
12/31/10,2.1736
1/3/11,2.1736
1/4/11,2.2015
1/5/11,2.1445
1/6/11,2.1433
1/7/11,2.155
1/10/11,2.1364
1/11/11,2.1416
1/12/11,2.1747
1/13/11,2.2321
1/14/11,2.1602
1/18/11,2.1799
1/19/11,2.1909
1/20/11,2.1665
1/21/11,2.1602
1/24/11,2.235
1/25/11,2.2275
1/26/11,2.1718
1/27/11,2.2386
1/28/11,2.2374
1/31/11,2.3129
2/1/11,2.3146
2/2/11,2.3617
2/3/11,2.3732
2/4/11,2.3848
2/7/11,2.3662
2/8/11,2.3743
2/9/11,2.354
2/10/11,2.4103
2/11/11,2.4289
2/14/11,2.4015
2/15/11,2.4625
2/16/11,2.4643
2/17/11,2.4747
2/18/11,2.4455
2/22/11,2.5722
2/23/11,2.6129
2/24/11,2.5671
2/25/11,2.5288
2/28/11,2.5589
3/1/11,2.5938
3/2/11,2.5624
3/3/11,2.5636
3/4/11,2.5942
3/7/11,2.6017
3/8/11,2.6755
3/9/11,2.7259
3/10/11,2.8079
3/11/11,2.69
3/14/11,2.6197
3/15/11,2.6249
3/16/11,2.5277
3/17/11,2.5625
3/18/11,2.6256
3/21/11,2.6602
3/22/11,2.6716
3/23/11,2.628
3/24/11,2.5914
3/25/11,2.5535
3/28/11,2.5913
3/29/11,2.557
3/30/11,2.557
3/31/11,2.5425
4/1/11,2.5365
4/4/11,2.4978
4/5/11,2.4741
4/6/11,2.564
4/7/11,2.5489
4/8/11,2.6229
4/11/11,2.6377
4/12/11,2.6377
4/13/11,2.6406
4/14/11,2.7093
4/15/11,2.7282
4/18/11,2.7818
4/19/11,2.7681
4/20/11,2.8322
4/21/11,2.8907
4/25/11,2.8827
4/26/11,2.8447
4/27/11,2.8844
4/28/11,2.8747
4/29/11,2.8747
5/2/11,2.9194
5/3/11,2.9675
5/4/11,2.9584
5/5/11,2.8507
5/6/11,2.8069
5/9/11,2.8142
5/10/11,2.807
5/11/11,2.7637
5/12/11,2.6827
5/13/11,2.6747
5/16/11,2.6483
5/17/11,2.5869
5/18/11,2.6029
5/19/11,2.6993
5/20/11,2.6467
5/23/11,2.5375
5/24/11,2.5675
5/25/11,2.5622
5/26/11,2.6024
5/27/11,2.5915
5/31/11,2.5755
6/1/11,2.5849
6/2/11,2.5038
6/3/11,2.5606
6/6/11,2.6323
6/7/11,2.5411
6/8/11,2.5754
6/9/11,2.5546
6/10/11,2.5886
6/13/11,2.5596
6/14/11,2.5925
6/15/11,2.5863
6/16/11,2.5515
6/17/11,2.5082
6/20/11,2.4301
6/21/11,2.3724
6/22/11,2.361
6/23/11,2.3747
6/24/11,2.3829
6/27/11,2.4093
6/28/11,2.4269
6/29/11,2.4977
6/30/11,2.5009
7/1/11,2.619
7/5/11,2.6034
7/6/11,2.597
7/7/11,2.5918
7/8/11,2.6059
7/11/11,2.5501
7/12/11,2.4969
7/13/11,2.4971
7/14/11,2.5561
7/15/11,2.5016
7/18/11,2.4545
7/19/11,2.4014
7/20/11,2.3734
7/21/11,2.3664
