,Unnamed: 0,Unnamed: 0.1,year,month,day,level_3,Date,Price,Price_Change,Direction,Rate_of_Change,Clean_Text
55,55,55,2007,3,26,Title,2007-03-26,1.0647,0.02039999999999997,0,0.019534616489514482,vietnam coffee exports increase march
56,56,56,2007,3,27,Title,2007-03-27,1.0714,0.006699999999999928,0,0.006292852446698533,wilting disease hits tanzania coffee trees heads brazil italy meet discuss biofuel projects
57,57,57,2007,3,28,Title,2007-03-28,1.0638,-0.00759999999999983,0,-0.007093522493933012,milk product prices march nestl coke remodel bpw agreement rabobank extend research operations malaysia
58,58,58,2007,3,29,Title,2007-03-29,1.0590000000000002,-0.004799999999999915,0,-0.004512126339537428,quality ivorian cocoa beans has improved officials say nestle coca cola agree over tea coffee venture
59,59,59,2007,3,30,Title,2007-03-30,1.0452,-0.013800000000000257,0,-0.01303116147308806,indian coffee exports slide vietnam coffee industry aims improve export efficiency
60,60,60,2007,4,1,Title,2007-04-01,1.0452,-0.0,0,0.0,poor brazilian prospects keep coffee strong weather trading briefs people places starbucks hits back after new ad campaign dry weather may slash vietnam coming crop kenya direct export system fails take off ivory coast improves bean quality
61,61,61,2007,4,2,Title,2007-04-02,1.0275,-0.017699999999999827,0,-0.016934557979333936,tata coffee opens new freeze dried coffee plant india quality vietnam coffee still low officials admit
62,62,62,2007,4,3,Title,2007-04-03,1.0282,0.0006999999999999228,0,0.000681265206812577,indian coffee export permits rise year traders warn civet deaths could cause coffee catastrophe brazilian port increases exports sugar coffee soya
63,63,63,2007,4,4,Title,2007-04-04,1.0368,0.008599999999999941,0,0.00836413149192758,cappuccino flavoured cheese not everybody cup tea schw lbchen cuts costs increases profit milk product prices april honduran coffee exports increase march
64,64,64,2007,4,5,Title,2007-04-05,1.0412,0.00439999999999996,0,0.004243827160493788,ivorian robusta crop may beat initial forecasts uganda grows arabica coffee trees resistant wilt disease brazil needs rain before coffee harvest experts say san pedro port sees marginal rise cocoa arrivals
65,65,65,2007,4,8,Title,2007-04-08,1.0412,-0.0,0,0.0,tata coffee expansion nybot sees rise its march trading volume people places fall maize price leads cbot soyabeans lower honduras ups exports ivorian coffee arrivals coffee board india signs more export permits vietnam focuses quality issue killing civets catastrophe
66,66,66,2007,4,10,Title,2007-04-10,1.0299,-0.011299999999999866,0,-0.010852862082212705,robusta prices set increase over vietnam harvest brazil coffee exports march rise
67,67,67,2007,4,11,Title,2007-04-11,1.034,0.0040999999999999925,0,0.003980969026119033,milk product prices april indian coffee prices set drop say traders
68,68,68,2007,4,12,Title,2007-04-12,1.0292,-0.004800000000000138,0,-0.004642166344294137,kenya will raise macadamia yields via better husbandry nestle makes bn purchase expand nutrition unit vietnam coffee prices remain high reserves dry up global warming threatens world coffee production analysts say
69,69,69,2007,4,13,Title,2007-04-13,1.0536,0.0244000000000002,0,0.023707734162456476,ivorian coffee arrivals up opening months uk soft drinks market turns healthy products indonesian coffee exports drop
70,70,70,2007,4,15,Title,2007-04-15,1.0536,-0.0,0,0.0,soyabean price fall undermines rival markets global warming fear weather trading briefs coffee exports climb rain heralds big coffee crop el salvador vietnam awaits higher prices london market rain needed brazil robusta
71,71,71,2007,4,16,Title,2007-04-16,1.061,0.007399999999999851,0,0.007023538344722713,brazilian coffee crop fall season exporter predicts colombia coffee exports production rise panama growers seek increase speciality coffee exports
72,72,72,2007,4,17,Title,2007-04-17,1.0257,-0.03529999999999989,0,-0.03327049952874636,ugandan coffee exports rise say ucda
73,73,73,2007,4,18,Title,2007-04-18,1.0333,0.007600000000000051,0,0.007409573949497953,milk product prices april nicaraguan coffee exports set slump officials say
74,74,74,2007,4,19,Title,2007-04-19,1.0324,-0.0009000000000001228,0,-0.0008709958385755567,uk soft drinks market turns healthier jamaica coffee sector be privatised production increases bearish coffee prices no cause concern say ico
75,75,75,2007,4,20,Title,2007-04-20,1.0293,-0.003099999999999881,0,-0.0030027121270824104,rwandan coffee production lower forecasts suggest
76,76,76,2007,4,22,Title,2007-04-22,1.0293,-0.0,0,0.0,coffee exports climb sugar prices cave under weight high output termites back png coffee privatisation ico ease dipping global coffee pricing rainfall allows sa maize costs fall back indonesia warns that coffee exports may crash tea board kenya steps up efforts control global market new prognosis brazil smaller coffee crop
77,77,77,2007,4,23,Title,2007-04-23,1.0182,-0.01110000000000011,0,-0.010784027980180813,nestl announces sales growth over vietnamese coffee exports us rise sharply brazil official coffee forecast confirms sharp drop production india details likely duty cuts spices softs under asean deal
78,78,78,2007,4,24,Title,2007-04-24,1.0126,-0.005600000000000049,0,-0.0054999017874681295,nestl sells out vietnamese newcomer zambia coffee output declines due drought low prices
79,79,79,2007,4,25,Title,2007-04-25,0.9945,-0.01809999999999989,0,-0.017874777799723383,milk product prices april vietnam coffee exports continue soar says government california coffee company increases income after streamlining
80,80,80,2007,4,26,Title,2007-04-26,0.9863,-0.008200000000000096,0,-0.008245349421820106,new cotton pest brazil tanzania aims replace aging coffee trees kilimanjaro area
81,81,81,2007,4,29,Title,2007-04-29,0.9863,-0.0,0,0.0,eco friendly coffee wce canola prices helped gains europe weather people places rwanda course lower coffee production elsalvador fears coffee industry doomed vietnam ships bigger amount coffee ivory coast sees fall crop jamaica puts its faith process privatisation
82,82,82,2007,5,1,Title,2007-05-01,0.9868,0.000500000000000056,0,0.0005069451485349854,brazil records higher monthly green coffee exports
83,83,83,2007,5,2,Title,2007-05-02,0.9868,-0.0,0,0.0,world dairy product prices may
84,84,84,2007,5,3,Title,2007-05-03,0.9833,-0.0035000000000000586,0,-0.003546817997567956,starbucks ethiopia make another agreement coffee cfc estimates world population relies commodities
85,85,85,2007,5,6,Title,2007-05-06,0.9833,-0.0,0,0.0,better west african outlook hits cocoa price starbucks ethiopia settle trademark dispute dry weather will benefit brazil coffee harvest
86,86,86,2007,5,8,Title,2007-05-08,0.9926,0.009300000000000086,0,0.009457947727041685,starbucks aims improve ugandan coffee sector
87,87,87,2007,5,9,Title,2007-05-09,0.9921,-0.000500000000000056,0,-0.0005037275841225629,milk product prices may brazilian coffee exports rise according industry council
88,88,88,2007,5,10,Title,2007-05-10,1.0033,0.0112000000000001,0,0.011289184558008364,nestle profits rise colombia doubles organic area
89,89,89,2007,5,13,Title,2007-05-13,1.0033,-0.0,0,0.0,vietnam runs dry exportable coffee stocks jamaica warns new coffee berry borer crisis salvadorian coffee fall weather battle between soyabeans maize heats up people places
90,90,90,2007,5,14,Title,2007-05-14,0.9984,-0.004900000000000127,0,-0.004883883185488016,colombian coffee production declines but exports rise
91,91,91,2007,5,15,Title,2007-05-15,1.0051,0.00670000000000015,0,0.00671073717948733,olam overcomes volatility through higher sugar deliveries
92,92,92,2007,5,16,Title,2007-05-16,1.0068,0.0016999999999998128,0,0.001691373992637362,milk product prices may global coffee production will fall next season says ico president
93,93,93,2007,5,18,Title,2007-05-18,1.0227,0.015900000000000025,0,0.015792610250298,starbucks shares hit month low brazil coffee crop forecast revised upwards analysts
94,94,94,2007,6,10,Title,2007-06-10,1.0227,-0.0,0,0.0,oilseed complex rises because high demand interest sugar futures lifts nybot trading weather brazil decides subsidise smaller coffee crop mexico guatemala unscathed after barbara indian coffee crop now looks set be larger vietnam authorities demand pre export checks
95,95,95,2007,6,11,Title,2007-06-11,1.0735,0.05079999999999996,0,0.04967243570939665,vietnam coffee officials want unified vat all coffee products tata coffee plans export hub africa tata coffee sets up african export hub sell eu china
96,96,96,2007,6,12,Title,2007-06-12,1.0791,0.005600000000000049,0,0.0052165812761993955,overseas buyers blacklist indonesian coffee exports aceh
97,97,97,2007,6,13,Title,2007-06-13,1.065,-0.0141,0,-0.013066444259104812,weihenstephan recruits new md
98,98,98,2007,6,14,Title,2007-06-14,1.0643,-0.0006999999999999228,0,-0.000657276995305092,vietnam seeks boost tea exports via rotterdam
99,99,99,2007,6,15,Title,2007-06-15,1.0743,0.010000000000000007,0,0.009395847035610269,turkish coffee turkish cola
100,100,100,2007,6,17,Title,2007-06-17,1.0743,-0.0,0,0.0,poor asian crops push robusta nine year high mexican coffee sales coffee crop revision oversipply takes sugar down another notch tata sets up africa vicofa calls vat reform encourage exports ivorian corruption could return buyers blacklist adulterating exporters aceh
101,101,101,2007,6,18,Title,2007-06-18,1.0752,0.0008999999999999008,0,0.000837754817090106,ugandan coffee exports may up last year
102,102,102,2007,6,19,Title,2007-06-19,1.08,0.004800000000000138,0,0.004464285714285842,jamaican coffee farms receive compensation storm damage
103,103,103,2007,6,20,Title,2007-06-20,1.0703,-0.009700000000000042,0,-0.008981481481481519,milk product prices june indian coffee exports expected decline present season
104,104,104,2007,6,21,Title,2007-06-21,1.0837,0.01340000000000008,0,0.012519854246473023,turkish coffee cola drink starbucks agrees recognise ethiopia coffees
105,105,105,2007,6,22,Title,2007-06-22,1.09,0.006299999999999972,0,0.005813416997323956,dry weather affects quality yields brazil coffee beans
106,106,106,2007,6,24,Title,2007-06-24,1.09,-0.0,0,0.0,coffee exports rise weather aggressive selling lowers cbot maize prices jamaica coffee board anacafe concerned over taiwan ties indian coffee shipments set fall up asian coffee supply rise may not temper prices
107,107,107,2007,6,25,Title,2007-06-25,1.0781,-0.011900000000000022,0,-0.01091743119266057,kenya will cancel coffee licenses over unscrupulous practices
